,datetime,city,state,shape,comment
0,4/30/20 00:00,Thibodaux,LA,Light,"14 Objects in a row, one behind each other  and watch one by one disappear."
1,4/30/20 23:49,Saint Petersburg,FL,Other,There were three dots in a straight line slowly moving for a while then boom vanish!
2,4/30/20 22:43,Edgewood,WA,Unknown,"Location of sighting: Edgewood, WA Date: Thursday April 30th Time: 10:43 PM Weather conditions: clear and other stars visible  On Thursday April 30th I was walking my dog at 10:43 PM in front of my house when I looked up at the night sky in a southwest direction and almost parallel to the moon I saw a light moving in the northwest direction at airliner speed.  I focused on this light and saw it pass between two dimmer lights that I thought were stars."
3,4/30/20 22:30,Vergas,MN,Light,White moving light
4,4/30/20 22:00,Calgary (Canada),AB,Disk,"At approximately 10:00pm, I spotted a large white light in the sky,  it was very bright. I went outside to inspect it further and the light dimmed gradually.  Two small red and green lights were visible on either side of this disc when the bright light dimmed.  The disc slowly moved across the sky in a straight line, making no noise . It was absolutely a UFO of some kind.  It then disappeared."
5,4/30/20 22:00,Tavares,FL,Formation,Fast moving formation of 20+ objects flying 2 abreast
6,4/30/20 22:00,Jacksonville,FL,Light,"Looked like stars, could have been satellites, but 50?"
7,4/30/20 22:00,Lincoln,AL,Other,Lights moving across the night sky
8,4/30/20 21:43,Miami,FL,Unknown,Hovering bright light
9,4/30/20 21:35,Montverde,FL,Unknown,"My wife was taking the garbage down around 9:20 p.m., she ran back to tell me to come outside quickly. Up in the sky moving West to East was a straight line of what appeared to be air craft of some sort. Each craft had only one single bright white with the exception of two that I saw. Those two craft had 2 lights on them in a straight line from West to East in the direction of the flight path. The last two craft were side by side bringing up the rear and they all disappeared shortly after passing overhead at or near 10 o’clock in the sky. There was no sound and no flashing indicator lights like you would see on commercial aircraft. The speed seemed to be much much faster then that of a commercial air line also. The parade of light were spaced equally in a straight line and lasted for almost 5 minutes with what we guess was 30-50 air craft. In the final few minutes our neighbor came out and witnessed the objects as well. We did try to capture a photo but they! did not come out."
10,4/30/20 21:30,Redmond,WA,Light,long string of moving lights
11,4/30/20 21:30,Jacksonville,FL,Light,There were 10-20 Star-like figures gliding across the sky in unison.
12,4/30/20 21:30,Davie,FL,Formation,6 craft line formation over south Florida
13,4/30/20 21:25,Jacksonville,FL,Unknown,Lights moving astronomically fast around the sky they stopped moving and stood still for about 15 seconds and then zoomed off
14,4/30/20 21:25,St. Cloud,FL,Formation,Just outside and looked at the sky and there was a line of UFOs about 15 to 20 objects. They also passed over the moon but I could not see any other shape of form.
15,4/30/20 21:23,Tampa,FL,Circle,At least 20 circular objects flying in a straight line at the same speed. Every few there was 2 lights instead of 1 flying together. Traveling North to South towards Macdill AFB.
16,4/30/20 21:20,Deland,FL,Light,I went outside look straight up in the sky and there was A-line of lights moving a cross the sky.  They were moving North to South In a straight line they would appear About a quarter off the horizon North and disappeared about a quarter off the horizon South.  Some were only a single light but some had a light next to it just behind it trailing.  They were also solid lights no flashing lights seen.  I have a friend that lives about a 100 miles away from me and he went outside and looked up in the sky and saw the same thing.  I couldn't get any video because it was too dark but I do have 4 pictures.
17,4/30/20 21:20,Jupiter,FL,Formation,string of lights
18,4/30/20 21:20,Honolulu,HI,Unknown,I was shootimg darts in my carport and saw a military helicopter flyer way faster than usual.  As it get closer to land i niticed a white light in front of it going at the exact same speed and stayed directly in feont of the chopper.  As a veteran and living here in HI I've seen tons of military helicopters and can even hear the rotor difference from inside of the house.  I've never seen one fly so fast over the east side and looked like it was chasing the solid white object.
19,4/30/20 21:15,Fort Myers,FL,Rectangle,"Clear night, looking at the moon and stars, from the North came a line of line of lights 7 in front, 5 in the middle, and another 6 or 7 behind, they came from the North high in the sky, to the right of the moon, all in a straight line,heading to my left,  I got the middle group on camera, they went in a straight line under the moon and as they continued to my left they disappeared into the atmosphere.  What caught my attention is that they were all in a straight line and no sound was detected. Then just disappeared."
20,4/30/20 21:15,New Smyrna Beach,FL,Light,Numerous lights flying across the sky in a straight line and equidistant
21,4/30/20 21:15,Brooksville,FL,Light,"Long string of 24+ equally spaced lights moving across the sky from North to South in Brooksville, FL."
22,4/30/20 21:15,Coconut Creek,FL,Formation,Dots of light in a line formation slowly moved in a southwest upward motion and each disappeared as it looked to be going upward.
23,4/30/20 21:15,Coral Springs,FL,Light,"It was a consistent line of moving lights evenly spaced, whereas halfway through the sky each one disappeared as each one appeared  out of nowhere. No sound."
24,4/30/20 21:10,Saint Augustine,FL,Light,20 plus lights in single file. About 5 minutes viewing. Last 2 lights were side by side.
