,datetime,city,state,shape,comment
0,12/31/18 23:30,San Antonio,TX,Sphere,"I saw fiery orange lights no sound flying at low altitude no noise they moved south then flanked back but they all flanked at the same area  as they flew higher I took pictures and video  I tried to close up to see if they were lanterns but there was no flickering I have seen them before, but can’t identify them."
1,12/31/18 23:00,Ponte Vedra,FL,Light,Green blinking lights zig zag in the sky Florida
2,12/31/18 22:00,Spring,TX,<br/>,Red/ Orange lights - spherical shape
3,12/31/18 21:47,Brandon,MS,Unknown,"2 strange formations of continuous red-orange, silent craft in the night sky."
4,12/31/18 21:45,Kiawah Island,SC,Sphere,"On New Year’s Eve night on Kiawah Island, I caught a glimpse of a strange orange sphere moving quickly."
5,12/31/18 21:41,Ormond Beach,FL,Fireball,Orange glowing object racing though the sky.
6,12/31/18 21:25,Mt. View,HI,Circle,"Seemingly low-flying, and incandescent, flying orb came from NW towards SE in very deliberate linear fashion at 9:25 p as I stood upon my roof, coincidentally taking in New Year's eve fireworks.  Appeared seemingly as a large firework rocket gone astray but just continued constant incandescence and just continued to the south in satellite fashion--just oranger and lower."
7,12/31/18 20:55,Brookfield,IL,Oval,Flying red ball seemed to stop and then continue on.
8,12/31/18 20:28,Kalaloch Campground,WA,Light,Kalaloch Campground extremley bright lights on ocean horizon.
9,12/31/18 20:15,East Haven,CT,Circle,Glowing round object descends from sky the shoots out of site.
10,12/31/18 19:30,New Port Richey,FL,Unknown,Eight red/orange lights moving generally south to northerly direction.  2 stacked lead and the rest separated by a good distance from one another.  They moved slowly north.  My family saw them as well as my neighbor.
11,12/31/18 06:45,Benicia,CA,Oval,A shining bright circle came from the top of the sky it went down towards earth then turned into an oval then turned around and disappeared
12,12/31/18 00:00,Schaumburg,IL,Teardrop,Exactly at midnight 12 teardopped shapespacecrafts filled the sky and raced in oval shaped patterns very quickly in the sky.
13,12/30/18 22:10,South Enterprise (near),MS,Flash,"Light flashing at regular intervals, no seen source."
14,12/30/18 21:30,Spokane,WA,Circle,"Moving circular white light/object slows down, merges with second, smaller light, combined object turns 90 degrees, and disappears."
15,12/30/18 20:30,Titusville,FL,Light,10-12 orange lights seen at night on 95 South in Titusville.  Within about 5 minutes they changed formation 3 times before disappearing.
16,12/30/18 18:00,Spokane,WA,Fireball,Numerous objects flying NW to SE over Spokane County.
17,12/30/18 18:00,Lodi,OH,Light,A star with flashing colored lights moving erratically
18,12/30/18 18:00,Spokane,WA,Circle,"They were orange, they made no sound.  They came from the northwest and traveled to the southeast direction.  They appeared one at a time and seemed to come from a low altitude and as they traveled they seemed to go higher then disappear."
19,12/30/18 15:30,Miami,FL,Disk,"((NUFORC Note:  Witness provides no data, and elects to remain anonymous.  PD))"
20,12/30/18 12:25,New London,IA,<br/>,MADAR Node 99
21,12/30/18 05:00,Port Perry (Canada),ON,Light,Very Low Bright Intense White Light Triangle Shape
22,12/30/18 00:00,Pensacola,FL,Changing,Alien beings just outside my window.  Put up a screen like cloth to cloak themselves and there craft.  I could see through it and have m.
23,12/29/18 23:08,Sugar Grove,IL,Light,I was driving home when I noticed in the sky there was a big bright shaped sphere of light in the middle of the dark sky.  It was 11:00 at night so it was very dark every where else but in this one area in the sky.
24,12/29/18 20:30,Porstmouth,VA,Unknown,Three stationary lights clumped together.
