,datetime,country,shape,duration (seconds),comments,latitude,longitude
230,2010-10-10 01:00:00,us,light,7200,Xmas colored rotating lights.  ((NUFORC Note:  Twinkling stars??  PD)),42.7675000,-78.74416670000001
231,2010-10-10 02:30:00,us,circle,240,possible UFO sighting,40.2736111,-76.88472220000001
232,2010-10-10 03:00:00,us,circle,180,2 objects blinking red and white&#44 disappeared into the sky&#44 after hovering around sky for 3 minutes.( over lake erie,41.5930556,-81.5269444
233,2010-10-10 08:30:00,us,formation,600,Strange orange lights in the night sky,34.3769444,-82.6958333
234,2010-10-10 10:45:00,us,flash,0,we were in the car and i looked out the window and i seen a unually big ball of a deep yellow color (way bigger than a shooting star li,42.5250000,-71.7602778
235,2010-10-10 12:00:00,us,light,240,&quot;Star&quot; like objects during clear day light in formation.,41.0263889,-73.6288889
236,2010-10-10 13:00:00,us,light,180,Object(s) visible 3 times at same place in the sky at during day in Chas&#44 SC,32.8544444,-79.975
237,2010-10-10 15:00:00,nan,triangle,300,White or light grey colored and leaving red/orange contrails on a bright blue sky.,37.615223,-122.389979
238,2010-10-10 16:30:00,us,cigar,15,Metalic cigar shaped object sighted during lull in a storm in Springfield&#44 VA,38.7891667,-77.1875
239,2010-10-10 17:10:00,us,light,600,Saw a light in the sky fading in and out over Bridgeport&#44 CT.,41.1669444,-73.20527779999999
240,2010-10-10 18:30:00,us,triangle,120,triangular ufo sighting in oregon 10-10-10,45.4077778,-122.56916670000001
241,2010-10-10 20:00:00,us,oval,60,I was coming back from the grocery store around 8:30 pm when I noticed a large orange glowing object in the sky above my neighbors hous,31.4636111,-100.4366667
242,2010-10-10 20:20:00,us,fireball,5,Bus sized fireball object over 91 about 3-400 ft up going about 150 mph at a downward 20 degree angle.,41.8525000,-72.6441667
243,2010-10-10 20:45:00,us,cylinder,600,It had rows of white lights with red lights pulsating in between them,41.7886111,-89.6961111
244,2010-10-10 21:00:00,us,other,30,crown shaped object with two orange lights over everett wa,47.9791667,-122.20083329999999
245,2010-10-10 21:00:00,us,disk,7200,We saw  what seem to be a space craft in the eastern sky of northern AZ&#44 on 10-10-10.,35.8752778,-110.61972220000001
246,2010-10-10 21:30:00,us,circle,10,Circle of light SUNY Albany.,42.6525000,-73.7566667
247,2010-10-10 22:30:00,us,egg,7200,Blue Light in Garden Grove,33.7738889,-117.94055559999998
248,2010-10-10 23:00:00,us,changing,1200,Bright lights hovering and going in and out of orchestrated formations,25.7738889,-80.1938889
