Category,Title,Artist,Year,Link
Listen,Two Little Men In A Flying Saucer,Ella Fitzgerald,1951,https://www.youtube.com/watch?v=VKjuYI00Ul8
Listen,A Saucer Full of Secrets,Pink Floyd,1968,https://www.youtube.com/results?search_query=a+saucerful+of+secrets+full+album+
Listen,I've Seen The Saucers,Elton John,1974,https://www.youtube.com/watch?v=gIbkqGZtMT4
Listen,Star Man,David Bowie,1972,https://www.youtube.com/watch?v=NpMKfXHy8ZI
Listen,Rapture,Blondie,1980,https://www.youtube.com/watch?v=pHCdS7O248g
Listen,Loving the Alien,David Bowie,1984,https://www.youtube.com/watch?v=ns2hmyP0mGY
Listen,Zero Zero UFO,The Ramones,1989,https://www.youtube.com/watch?v=2mQGu_l464I
Listen,Aliens Exist,Blink 182,1999,https://www.youtube.com/watch?v=alUoE6tJP1w
Listen,Motorway to Roswell,Pixies,1991,https://www.youtube.com/watch?v=-jo3F29JSfs
Listen,E.T.,Outkast,1996,https://www.youtube.com/watch?v=ktc9hsSfUck
Listen,Subterranean Homesick Alien,Radiohead,1997,https://www.youtube.com/watch?v=_fTWmUlTEqE
Listen,"Concerning the UFO sighting near Highland, Illinois",Sufjan Stevens,2005,https://www.youtube.com/watch?v=zR2TqWDqO_w
Listen,We're Not Alone,Nas,2008,https://www.youtube.com/watch?v=HMPslDS9VbQ
Listen,E.T.,Katy Perry feat. Kanye West,2010,https://www.youtube.com/watch?v=t5Sd5c4o9UM
Watch,Le Voyage Dans La Lune,George Méliès,1902,https://www.youtube.com/watch?v=BNLZntSdyKE
Watch,The Day the Earth Stood Still,Robert Wise,1951,https://www.youtube.com/watch?v=51JoEE_znyI
Watch,The Thing from Another World,Christian Nyby,1951,https://www.youtube.com/watch?v=vs2lXH1aFZ0
Watch,Star Trek,Eugene Wesley Roddenberry,1966-69,https://intl.startrek.com/
Watch,2001,Stanley Kubrick,1968,https://www.youtube.com/watch?v=Z2UWOeBcsJI
Watch,The Man Who Fell To Earth,Nicolas Roeg,1976,https://www.youtube.com/watch?v=KarWCgIw3Wk
Watch,Close Encounters of the Third Kind,Steven Spielberg,1978,https://www.youtube.com/watch?v=dSpQ3G08k48
Watch,Alien,Ridley Scott,1979,https://www.youtube.com/watch?v=jQ5lPt9edzQ
Watch,E.T. the Extra-Terrestrial,Steven Spielberg,1982,https://www.youtube.com/watch?v=qYAETtIIClk
Watch,Space Balls,Mel Brooks,1987,https://www.youtube.com/watch?v=kGIM_yNzeUo
Watch,Mars Attacks,Tim Burton,1996,https://www.youtube.com/watch?v=m0idkvjPcz8
Watch,Independence Day,Roland Emmerich,1996,https://www.youtube.com/watch?v=B1E7h3SeMDk
Watch,Under The Skin,Jonathan Glazer,2013,https://www.youtube.com/watch?v=CcR5KHjoc-0
Read,Somnium,Johannes Kepler,1634,https://www.goodreads.com/book/show/5984974-somnium
Read,Paradise Lost,John Milton,1667,https://www.goodreads.com/book/show/15997.Paradise_Lost
Read,Micromégas,Voltaire,1752,https://www.brainpickings.org/2015/08/14/micromegas-voltaire-elizabeth-hall/
Read,The War of the Worlds,H.G. Wells,1897,https://www.goodreads.com/book/show/8909.The_War_of_the_Worlds
Read,Round Trip to Hell in a Flying Saucer,Cecil Michael,1955,https://www.goodreads.com/book/show/10664114-round-trip-to-hell-in-a-flying-saucer
Read,Dune,Frank Herbert,1965,https://www.goodreads.com/book/show/44767458-dune
Read,The Left Hand of Darkness,Ursula L. E. Guin,1969,https://www.goodreads.com/book/show/18423.The_Left_Hand_of_Darkness
Read,Slaughterhouse Five,Kurt Vonnegut,1969,https://www.goodreads.com/book/show/4981.Slaughterhouse_Five
Read,The Hitchhiker's Guide to the Galaxy,Douglas Adams,1979,https://www.goodreads.com/book/show/386162.The_Hitchhiker_s_Guide_to_the_Galaxy
Read,"Shikasta: Re, Colonised Planet 5",Dorris Lessig,1979,https://www.goodreads.com/book/show/186682.Re
Read,The Humans,Matt Haig,2013,https://www.goodreads.com/book/show/16130537-the-humans
