,datetime,city,state,shape,comment
0,12/23/20 07:30,Canadian Lakes,MI,Light,"light in sky ,no sound"
1,12/23/20 03:18,Grants,CA,Light,Bright Orb seen below plane level at Mach 1+ Speeds
2,12/23/20 03:00,East Quogue,NY,Other,"flickering colored lights in the night sky, indistinguishable shape, sort of swaying / hovering / rotating around."
3,12/22/20 22:45,Indian River Shores,FL,Changing,Orange orb over Indian River Shores Florida
4,12/22/20 22:05,lake elsinore,CA,Light,saw a glowing object.shape not discerned. travelling somewhat slowly.direction roughly Northeast to Southwest. large and somewhat Long trail of debris behind object. molten material falling from the end of fire trail. disappeared behind southern Hill. it had a glowing amber color. object made no discernible sound.
5,12/22/20 20:00,Jersey City,NJ,Unknown,"Object with Red Blinking lights, went flying super fast over the hudson from south to north. It was not unreal fast, but too fast for something flying at that level. I thought it was a fighter jet but it didn't make any sound. I was on the couch looking out the window when I saw it and went to the balcony. The object turned back south and as it came closer I saw a bright beam of light (like xenon headlights of a car, just very big). It went behind a big cloud and I couldnt spot it afterwards. I wouldn't say it was definitely a ufo, but crazy enough for me to report this and try to find out what it was."
6,12/22/20 08:00,Pembroke,MA,Circle,"Green, Orange and White Lights Low to Ground in Pembroke, MA USA"
7,12/22/20 06:47,South Salem,OR,Triangle,Was walking down the block was coming back home I was actually playing a phone game I was looking down then looked up look down again on my phone and I look up and I don't know where you don't hear it triangle UFO with lights under a goes right over me but completely silence you could not hear it go There was absolutely no noise coming from the craft it was completely silent going south bound towards Albany Oregon
8,12/21/20 19:10,Hayesville,NC,Changing,I was taking pictures of the Christmas star. I was not using flash to take the pictures and the pictures was taken of my phone(A50)
9,12/21/20 19:00,Quartzite,AZ,Triangle,Two sets of  three Red Lights in Western sky that appeared and disappeared 10-15° above the Horizon.
10,12/21/20 18:00,Virginia City,NV,Flash,"We were observing the Great Conjunction with a telescope.  After Jupiter/Saturn had set below the horizon, we turned to Mars, just south of the zenith."
11,12/21/20 17:30,Rosemead,CA,Light,Point of light streaks across the sky over Los Angeles
12,12/21/20 16:40,Long Beach,CA,Light,Streak of horizontal light over Long Beach
13,12/21/20 16:40,Long Beach,CA,Light,Streak of horizontal light over Long Beach
14,12/21/20 16:40,Long Beach,CA,Light,Streak of horizontal light over Long Beach
15,12/21/20 15:30,Thousand Oaks,CA,Light,"Driving northbound on the 101 in Thousand Oaks. Saw a bright white flash in the sky at my 12 o’clock position over Newbury Park that lasted approx. 1-3 seconds, and then was gone. The sun was still out and I didn’t see any aircraft flying after seeing the light."
16,12/21/20 03:00,Gulfport,MS,Other,I went outside. I always look around. And above the tree line behind my house.there was a rather large ball of light. Starting from the middle of the sky. It was white and fell to the ground it seemed. Very bright no sound around at all. It scared me. I still looked trying to figure this all out. The sky in the same direction seemed to kind of light up. Then I ran inside. But it was too quiet. Not even a bug could be heard. It was odd. I live close enough to an airport and naval base as well as airforce base but it wasnt a plane 100%. Can anyone else explain what I saw please?
17,12/21/20 01:40,Cathedral City,CA,Triangle,"Triangular object to the south of Palm Springs/Cathedral City, CA over the mountain. Would zig-zag side to side and at times appeared brighter.  It backlit clouds.  Seemed to have the colors of red, green, and white lights in a bar triangular shape."
18,12/21/20 01:00,Los Banos,<br/>,Light,My name is ((name deleted))
19,12/20/20 00:00,Starkville,MS,Fireball,Total of 3 orange spheres with what appeared to be rings of fire within
